codice,codice_parlante,utenza,cliente,data,imponibile,iva,totale,data_scadenza,stato_pagamento,data_pagamento,indirizzo_fatturazione,città_fatturazione
14c705e0-9fa5-4d20-b52c-095917e67d9a,FAT-05122023-001,2faec82d-060a-46f6-834f-2335b40f4e18,6509c024-edd5-4c45-88c2-0f142359fbe1,2023-12-05,188.01,18.8,206.81,2024-01-04,Pagata,2023-12-31,Largo Maggiore 19,Albino
afe9c8e4-2d3d-4670-990b-4cd410a8639a,FAT-05042024-001,2faec82d-060a-46f6-834f-2335b40f4e18,6509c024-edd5-4c45-88c2-0f142359fbe1,2024-04-05,139.86,13.99,153.85,2024-05-05,Pagata,2024-04-19,Largo Maggiore 19,Albino
a28a0fce-91a5-43ae-bc22-316061e98eb1,FAT-05082024-001,2faec82d-060a-46f6-834f-2335b40f4e18,6509c024-edd5-4c45-88c2-0f142359fbe1,2024-08-05,212.54,21.25,233.79,2024-09-04,Pagata,2024-08-19,Largo Maggiore 19,Albino
620849ee-c58c-41ed-944d-ae8de9cec619,FAT-05122024-001,2faec82d-060a-46f6-834f-2335b40f4e18,6509c024-edd5-4c45-88c2-0f142359fbe1,2024-12-05,198.81,19.88,218.69,2025-01-04,Pagata,2024-12-11,Largo Maggiore 19,Albino
c3580673-d6a1-4ca5-a233-7f60199e64af,FAT-05042025-001,2faec82d-060a-46f6-834f-2335b40f4e18,6509c024-edd5-4c45-88c2-0f142359fbe1,2025-04-05,134.69,13.47,148.16,2025-05-05,Pagata,2025-04-15,Largo Maggiore 19,Albino
4efa31ba-598e-4417-8b91-2e1b6baa928e,FAT-05082025-001,2faec82d-060a-46f6-834f-2335b40f4e18,6509c024-edd5-4c45-88c2-0f142359fbe1,2025-08-05,226.04,22.6,248.64,2025-09-04,Pagata,2025-08-20,Largo Maggiore 19,Albino
8005960c-8798-416e-b029-dc8b8cb80fc6,FAT-05122025-001,2faec82d-060a-46f6-834f-2335b40f4e18,6509c024-edd5-4c45-88c2-0f142359fbe1,2025-12-05,198.81,19.88,218.69,2026-01-04,Pagata,2025-12-23,Largo Maggiore 19,Albino
0ecd80f0-d1f3-4f79-80ac-0a87eed1dfce,FAT-05042026-001,2faec82d-060a-46f6-834f-2335b40f4e18,6509c024-edd5-4c45-88c2-0f142359fbe1,2026-04-05,140.09,14.01,154.1,2026-05-05,Pagata,2026-04-17,Largo Maggiore 19,Albino
ea1be74d-f2ac-42db-bca6-5977f3741eb2,FAT-15032025-001,89fc6004-7a3c-4bed-8c5e-7226ea6b0675,bef8c845-96a7-4d9e-9b53-bfe09003ba19,2025-03-15,71.35,15.7,87.05,2025-04-14,Pagata,2025-04-13,Largo Azzurra 24,Cologno al Serio
5d28fd37-d6e4-4ad4-86a0-a13369348efb,FAT-15092025-001,89fc6004-7a3c-4bed-8c5e-7226ea6b0675,bef8c845-96a7-4d9e-9b53-bfe09003ba19,2025-09-15,100.4,22.09,122.49,2025-10-15,Pagata,2025-10-08,Largo Azzurra 24,Cologno al Serio
eda17eba-3872-4aac-a04f-1484cd0d8639,FAT-15032026-001,89fc6004-7a3c-4bed-8c5e-7226ea6b0675,bef8c845-96a7-4d9e-9b53-bfe09003ba19,2026-03-15,73.95,16.27,90.22,2026-04-14,Pagata,2026-03-17,Largo Azzurra 24,Cologno al Serio
dd482743-4814-48c1-8ca2-e8293147ac6f,FAT-25062026-002,5a0217ca-c762-43f7-b33c-7eff55fbcb0b,bef8c845-96a7-4d9e-9b53-bfe09003ba19,2026-06-25,144.3,31.75,176.05,2026-07-25,Scaduta,NULL,Largo Azzurra 24,Cologno al Serio
71abb269-00ef-432e-ba2a-d0996b6fe846,FAT-25122026-001,5a0217ca-c762-43f7-b33c-7eff55fbcb0b,bef8c845-96a7-4d9e-9b53-bfe09003ba19,2026-12-25,154.85,34.07,188.92,2027-01-24,Scaduta,NULL,Largo Azzurra 24,Cologno al Serio
ef799e6d-8974-442c-8b0c-fcb85ea91445,FAT-25062027-001,5a0217ca-c762-43f7-b33c-7eff55fbcb0b,bef8c845-96a7-4d9e-9b53-bfe09003ba19,2027-06-25,144.3,31.75,176.05,2027-07-25,Pagata,2027-07-07,Largo Azzurra 24,Cologno al Serio
47ce4a8f-602f-4448-ae01-29740f9d8d6a,FAT-25122027-001,5a0217ca-c762-43f7-b33c-7eff55fbcb0b,bef8c845-96a7-4d9e-9b53-bfe09003ba19,2027-12-25,154.85,34.07,188.92,2028-01-24,Pagata,2028-01-28,Largo Azzurra 24,Cologno al Serio
FAT-6f95acdc-3684-4206-9b6a-89171275f90d,FAT-04052028-001,5a0217ca-c762-43f7-b33c-7eff55fbcb0b,bef8c845-96a7-4d9e-9b53-bfe09003ba19,2028-05-04,116.4,25.61,142.01,2028-06-03,Pagata,2028-05-25,Largo Azzurra 24,Cologno al Serio
6646ae25-2757-4897-8fac-c3a2cb18e230,FAT-05042024-002,a0a40d01-174e-4d5a-ab5b-919bca63670c,20e4b652-9fd7-45fe-a702-a7ab00ec581c,2024-04-05,45.5,4.55,50.05,2024-05-05,Pagata,2024-04-14,Corso XI Febbraio 135,Stezzano
c503585b-7fca-4bef-a427-700194802766,FAT-05102024-001,a0a40d01-174e-4d5a-ab5b-919bca63670c,20e4b652-9fd7-45fe-a702-a7ab00ec581c,2024-10-05,66.6,6.66,73.26,2024-11-04,Pagata,2024-10-21,Corso XI Febbraio 135,Stezzano
b525da49-2e0b-400e-bcac-9400c06386c0,FAT-05042025-002,a0a40d01-174e-4d5a-ab5b-919bca63670c,20e4b652-9fd7-45fe-a702-a7ab00ec581c,2025-04-05,46.85,4.69,51.54,2025-05-05,Scaduta,NULL,Corso XI Febbraio 135,Stezzano
85098583-9b7b-4e95-8dd0-aaee7501a975,FAT-05102025-001,a0a40d01-174e-4d5a-ab5b-919bca63670c,20e4b652-9fd7-45fe-a702-a7ab00ec581c,2025-10-05,65.2,6.52,71.72,2025-11-04,Pagata,2025-11-02,Corso XI Febbraio 135,Stezzano
2f7fba00-c398-450a-ab1a-5bf6167e40c7,FAT-05042026-002,a0a40d01-174e-4d5a-ab5b-919bca63670c,20e4b652-9fd7-45fe-a702-a7ab00ec581c,2026-04-05,49.65,4.96,54.61,2026-05-05,Pagata,2026-04-20,Corso XI Febbraio 135,Stezzano
1f74e1f7-7e43-4733-942e-95b8c8148a66,FAT-05022025-001,7f1a2cd6-2866-4e74-ba29-b91415343d5a,c8933da3-0524-4174-aacc-961da0b159f6,2025-02-05,69.4,6.94,76.34,2025-03-07,Pagata,2025-03-08,Vicolo Maderno 117,Osio Sotto
7e45e700-8c79-4673-8b73-daef3cc332b0,FAT-05082025-002,7f1a2cd6-2866-4e74-ba29-b91415343d5a,c8933da3-0524-4174-aacc-961da0b159f6,2025-08-05,76.25,7.62,83.87,2025-09-04,Pagata,2025-08-23,Vicolo Maderno 117,Osio Sotto
05faf556-2a64-43d4-a194-9cf2bb1895dc,FAT-05022026-001,7f1a2cd6-2866-4e74-ba29-b91415343d5a,c8933da3-0524-4174-aacc-961da0b159f6,2026-02-05,66.6,6.66,73.26,2026-03-07,Pagata,2026-03-11,Vicolo Maderno 117,Osio Sotto
3541b8ec-6b59-4d23-9671-cecb8e3b9488,FAT-15072025-001,a9b8ceeb-c138-4b6d-a890-5ec8903c6e4c,c8933da3-0524-4174-aacc-961da0b159f6,2025-07-15,82.2,8.22,90.42,2025-08-14,Pagata,2025-08-04,Vicolo Maderno 117,Osio Sotto
FAT-fada4289-be0e-4923-9452-75cb4d80753a,FAT-29072025-001,a9b8ceeb-c138-4b6d-a890-5ec8903c6e4c,c8933da3-0524-4174-aacc-961da0b159f6,2025-07-29,21.3,2.13,23.43,2025-08-28,Pagata,2025-09-02,Vicolo Maderno 117,Osio Sotto
ff46dd66-bafd-4573-a2f8-83500c95d73f,FAT-25062025-002,45bd35db-e2cd-4335-bc9e-192e1dc9d09a,ee59e4e3-5ca2-4c53-be84-8f2772475d5b,2025-06-25,164.39,16.44,180.83,2025-07-25,Pagata,2025-07-07,Vicolo Dei Pastori 62,Chiuduno
35a0d0c9-1bd6-40f2-a5d0-3a9eaff6f271,FAT-25102025-001,45bd35db-e2cd-4335-bc9e-192e1dc9d09a,ee59e4e3-5ca2-4c53-be84-8f2772475d5b,2025-10-25,247.41,24.74,272.15,2025-11-24,Pagata,2025-11-17,Vicolo Dei Pastori 62,Chiuduno
65e7cbc0-10b3-4248-b339-6ef378ad8bf1,FAT-25022026-001,45bd35db-e2cd-4335-bc9e-192e1dc9d09a,ee59e4e3-5ca2-4c53-be84-8f2772475d5b,2026-02-25,145.04,14.5,159.54,2026-03-27,Pagata,2026-03-16,Vicolo Dei Pastori 62,Chiuduno
33b5adb1-1d9b-4a63-8855-8fd854da08ed,FAT-25062026-003,45bd35db-e2cd-4335-bc9e-192e1dc9d09a,ee59e4e3-5ca2-4c53-be84-8f2772475d5b,2026-06-25,172.49,17.25,189.74,2026-07-25,Pagata,2026-07-29,Vicolo Dei Pastori 62,Chiuduno
384e387f-6df2-49dd-8e52-d89bdb7bb93e,FAT-25062026-004,87403c5e-4cac-4db8-96c0-06510b24aac2,1e5860f4-fcfa-45fb-a191-fd9d0a20607c,2026-06-25,53.9,5.39,59.29,2026-07-25,Pagata,2026-07-10,Piazza Foggia 113,Triuggio
366ea133-e2bf-4268-8e08-a235cc5671c1,FAT-25032026-001,661ad163-549f-407f-9efa-521dd18206d5,f8c7936b-1d24-4805-879d-d6efa565f345,2026-03-25,52.6,5.26,57.86,2026-04-24,Pagata,2026-04-03,Viale Marco Minghetti 135,Bernareggio
b8bab66c-b817-4690-a3ed-abf9461eaeb3,FAT-05032024-001,b91c35f4-b047-4e67-80d7-fee044db447a,8ddad25e-afc1-4ee4-a36b-c6f018b74c26,2024-03-05,41.3,4.13,45.43,2024-04-04,Pagata,2024-03-24,Vicolo Bernini 44,Terno d'Isola
3fba37b9-ad93-461c-ac18-338184d9c09d,FAT-05092024-001,b91c35f4-b047-4e67-80d7-fee044db447a,8ddad25e-afc1-4ee4-a36b-c6f018b74c26,2024-09-05,58.1,5.81,63.91,2024-10-05,Scaduta,NULL,Vicolo Bernini 44,Terno d'Isola
3c9c7e70-16d4-4dae-8351-67d3e7c5907d,FAT-05032025-001,b91c35f4-b047-4e67-80d7-fee044db447a,8ddad25e-afc1-4ee4-a36b-c6f018b74c26,2025-03-05,39.95,4.0,43.95,2025-04-04,Pagata,2025-03-20,Vicolo Bernini 44,Terno d'Isola
14cffec5-8c58-4e96-9b7d-7849d5bc2199,FAT-05092025-001,b91c35f4-b047-4e67-80d7-fee044db447a,8ddad25e-afc1-4ee4-a36b-c6f018b74c26,2025-09-05,55.25,5.53,60.78,2025-10-05,Pagata,2025-09-19,Vicolo Bernini 44,Terno d'Isola
424ea793-98eb-4afd-be90-2cb13d675bc8,FAT-05032026-001,b91c35f4-b047-4e67-80d7-fee044db447a,8ddad25e-afc1-4ee4-a36b-c6f018b74c26,2026-03-05,42.8,4.28,47.08,2026-04-04,Pagata,2026-03-09,Vicolo Bernini 44,Terno d'Isola
c10d2fbb-3552-4db0-a590-36202ac36c42,FAT-15042026-002,6c7b6ec6-da88-46f5-9092-b1bef6f7014d,dcee8ed2-4a84-437e-9807-e6d6b95f60e8,2026-04-15,71.8,7.18,78.98,2026-05-15,Pagata,2026-05-03,Vicolo Roma 107,Martinengo
f34f54cc-4cbf-4156-a06b-730f834e6d76,FAT-05012024-001,1e2b1868-7b96-4962-8c4f-d4ac50198bb8,29a65139-6319-471b-bc7d-5445e2acddd4,2024-01-05,60.95,6.1,67.05,2024-02-04,Scaduta,NULL,Vicolo Tulipani 41,Carate Brianza
332fc056-f599-45ee-a7b1-45b2cabae27f,FAT-05072024-001,1e2b1868-7b96-4962-8c4f-d4ac50198bb8,29a65139-6319-471b-bc7d-5445e2acddd4,2024-07-05,56.75,5.68,62.43,2024-08-04,Pagata,2024-07-30,Vicolo Tulipani 41,Carate Brianza
0ddd2aa0-2ff6-495f-b162-4eb58d5b78fe,FAT-05012025-001,1e2b1868-7b96-4962-8c4f-d4ac50198bb8,29a65139-6319-471b-bc7d-5445e2acddd4,2025-01-05,62.35,6.24,68.59,2025-02-04,Pagata,2025-02-09,Vicolo Tulipani 41,Carate Brianza
6367c7fb-64be-491e-a988-3387a926838f,FAT-05072025-001,1e2b1868-7b96-4962-8c4f-d4ac50198bb8,29a65139-6319-471b-bc7d-5445e2acddd4,2025-07-05,56.7,5.67,62.37,2025-08-04,Pagata,2025-07-18,Vicolo Tulipani 41,Carate Brianza
e8022493-b68f-4ccb-a53a-da822ca93909,FAT-05012026-001,1e2b1868-7b96-4962-8c4f-d4ac50198bb8,29a65139-6319-471b-bc7d-5445e2acddd4,2026-01-05,58.15,5.82,63.97,2026-02-04,Pagata,2026-02-02,Vicolo Tulipani 41,Carate Brianza
3dc91a3f-a194-4cef-97f0-611e0fdda02f,FAT-05072026-001,1e2b1868-7b96-4962-8c4f-d4ac50198bb8,29a65139-6319-471b-bc7d-5445e2acddd4,2026-07-05,55.3,5.53,60.83,2026-08-04,Pagata,2026-08-06,Vicolo Tulipani 41,Carate Brianza
a03410e8-0fd5-41d9-8083-80648c413c11,FAT-05032025-002,84afda47-e366-44bd-94cc-943060ba5d5d,8e8a3944-c1f3-4c73-884b-1b9c01ec1c56,2025-03-05,98.55,9.86,108.41,2025-04-04,Pagata,2025-04-09,Vicolo VIII Settembre 108,Villa d'Almè
1e27bb36-ade9-4d5b-a4d9-b7de09ac38b7,FAT-05072025-002,84afda47-e366-44bd-94cc-943060ba5d5d,8e8a3944-c1f3-4c73-884b-1b9c01ec1c56,2025-07-05,170.08,17.01,187.09,2025-08-04,Pagata,2025-08-07,Vicolo VIII Settembre 108,Villa d'Almè
1c472db9-be1c-45fb-9a69-d71943f125f9,FAT-05112025-001,84afda47-e366-44bd-94cc-943060ba5d5d,8e8a3944-c1f3-4c73-884b-1b9c01ec1c56,2025-11-05,169.35,16.93,186.28,2025-12-05,Pagata,2025-11-09,Vicolo VIII Settembre 108,Villa d'Almè
a5869388-5c93-49fd-8db9-2075ebf23490,FAT-05032026-002,84afda47-e366-44bd-94cc-943060ba5d5d,8e8a3944-c1f3-4c73-884b-1b9c01ec1c56,2026-03-05,109.75,10.98,120.73,2026-04-04,Pagata,2026-03-22,Vicolo VIII Settembre 108,Villa d'Almè
b7af715d-6dca-4dba-8dac-36316dd6d8aa,FAT-05072026-002,84afda47-e366-44bd-94cc-943060ba5d5d,8e8a3944-c1f3-4c73-884b-1b9c01ec1c56,2026-07-05,154.08,15.41,169.49,2026-08-04,Pagata,2026-07-27,Vicolo VIII Settembre 108,Villa d'Almè
4959a346-9e1c-4b1c-ba81-6d2f948275c3,FAT-15012026-001,d9d36ec4-4fd9-4619-b03a-a10de3631435,16a50f06-c816-417b-a9d7-f6f0063da102,2026-01-15,125.5,12.55,138.05,2026-02-14,Pagata,2026-01-24,Viale Amerigo Vespucci 28,Muggiò
a8acc575-72d4-46bd-8ae7-867e2666edf7,FAT-15052026-001,d9d36ec4-4fd9-4619-b03a-a10de3631435,16a50f06-c816-417b-a9d7-f6f0063da102,2026-05-15,142.06,14.21,156.27,2026-06-14,Pagata,2026-06-09,Viale Amerigo Vespucci 28,Muggiò
3dbfc80c-6469-4976-970b-e5bee550c0c5,FAT-05022024-001,9a1e4378-2da8-4899-9bb2-4f6025db0dea,7e2bee49-41c0-4b72-84cf-ecca6101f33d,2024-02-05,131.6,28.95,160.55,2024-03-06,Pagata,2024-02-06,Piazza Fratelli Bandiera 35,Arcore
ceaf6bf0-0f52-4310-a70f-dc7c35646b4b,FAT-05082024-002,9a1e4378-2da8-4899-9bb2-4f6025db0dea,7e2bee49-41c0-4b72-84cf-ecca6101f33d,2024-08-05,154.7,34.03,188.73,2024-09-04,Pagata,2024-08-13,Piazza Fratelli Bandiera 35,Arcore
cd41924b-3795-4d2e-8b91-940edcc9d58f,FAT-05022025-002,9a1e4378-2da8-4899-9bb2-4f6025db0dea,7e2bee49-41c0-4b72-84cf-ecca6101f33d,2025-02-05,144.6,31.81,176.41,2025-03-07,Pagata,2025-03-05,Piazza Fratelli Bandiera 35,Arcore
04a2a4e9-63df-42dc-8153-3eeb9f12ecc6,FAT-05082025-003,9a1e4378-2da8-4899-9bb2-4f6025db0dea,7e2bee49-41c0-4b72-84cf-ecca6101f33d,2025-08-05,154.55,34.0,188.55,2025-09-04,Pagata,2025-08-31,Piazza Fratelli Bandiera 35,Arcore
a8949dcf-8d64-457d-b3be-19ac67fc4921,FAT-05022026-002,9a1e4378-2da8-4899-9bb2-4f6025db0dea,7e2bee49-41c0-4b72-84cf-ecca6101f33d,2026-02-05,147.2,32.38,179.58,2026-03-07,Pagata,2026-02-20,Piazza Fratelli Bandiera 35,Arcore
5054749e-4375-432a-a7f0-79fac2744cb7,FAT-15062023-002,ae7c7460-9b7b-46be-94e5-04246e040f73,7e2bee49-41c0-4b72-84cf-ecca6101f33d,2023-06-15,102.55,22.56,125.11,2023-07-15,Pagata,2023-07-17,Piazza Fratelli Bandiera 35,Arcore
f226922e-37fc-4f01-a74a-5162c9a8f4f2,FAT-15122023-002,ae7c7460-9b7b-46be-94e5-04246e040f73,7e2bee49-41c0-4b72-84cf-ecca6101f33d,2023-12-15,131.6,28.95,160.55,2024-01-14,Pagata,2024-01-13,Piazza Fratelli Bandiera 35,Arcore
f173c7fe-387c-4012-83d5-4d906b7d0382,FAT-15062024-002,ae7c7460-9b7b-46be-94e5-04246e040f73,7e2bee49-41c0-4b72-84cf-ecca6101f33d,2024-06-15,102.7,22.59,125.29,2024-07-15,Scaduta,NULL,Piazza Fratelli Bandiera 35,Arcore
9de73c6f-a5bb-4a7a-ae3b-0b9ab73fb317,FAT-15122024-002,ae7c7460-9b7b-46be-94e5-04246e040f73,7e2bee49-41c0-4b72-84cf-ecca6101f33d,2024-12-15,129.0,28.38,157.38,2025-01-14,Pagata,2025-01-13,Piazza Fratelli Bandiera 35,Arcore
f0998e3c-1c13-4a6d-83e9-ca2b2cd027eb,FAT-15062025-002,ae7c7460-9b7b-46be-94e5-04246e040f73,7e2bee49-41c0-4b72-84cf-ecca6101f33d,2025-06-15,107.75,23.71,131.46,2025-07-15,Pagata,2025-07-01,Piazza Fratelli Bandiera 35,Arcore
0fea8aeb-2597-4141-a3da-dc14f7fba3f8,FAT-15122025-002,ae7c7460-9b7b-46be-94e5-04246e040f73,7e2bee49-41c0-4b72-84cf-ecca6101f33d,2025-12-15,129.0,28.38,157.38,2026-01-14,Pagata,2026-01-10,Piazza Fratelli Bandiera 35,Arcore
fc00e2e9-c4a8-4f40-85cc-7981b7a701d6,FAT-15062026-002,ae7c7460-9b7b-46be-94e5-04246e040f73,7e2bee49-41c0-4b72-84cf-ecca6101f33d,2026-06-15,107.75,23.71,131.46,2026-07-15,Pagata,2026-07-19,Piazza Fratelli Bandiera 35,Arcore
1b6755d7-38a2-46df-a151-5e72f5dbe57c,FAT-05072025-003,fa5d1e78-248e-4457-bbfd-7aa97d0341de,ac67812f-6f44-42bc-bbf1-0a2967a5f000,2025-07-05,134.06,13.41,147.47,2025-08-04,Pagata,2025-08-08,Via Manzoni 32,Brignano Gera d'Adda
f9ad1333-b02d-47b5-a333-549bc2214f7c,FAT-05112025-002,fa5d1e78-248e-4457-bbfd-7aa97d0341de,ac67812f-6f44-42bc-bbf1-0a2967a5f000,2025-11-05,141.5,14.15,155.65,2025-12-05,Pagata,2025-11-28,Via Manzoni 32,Brignano Gera d'Adda
72f5c389-5026-4f51-892d-afe3ef7d7304,FAT-05032026-003,fa5d1e78-248e-4457-bbfd-7aa97d0341de,ac67812f-6f44-42bc-bbf1-0a2967a5f000,2026-03-05,77.55,7.75,85.3,2026-04-04,Pagata,2026-03-13,Via Manzoni 32,Brignano Gera d'Adda
786e1dc3-6be4-40c0-8b1d-948affcfa1a6,FAT-05072026-003,fa5d1e78-248e-4457-bbfd-7aa97d0341de,ac67812f-6f44-42bc-bbf1-0a2967a5f000,2026-07-05,132.06,13.21,145.27,2026-08-04,Pagata,2026-08-06,Via Manzoni 32,Brignano Gera d'Adda
