codice,codice_parlante,codice_pod,cliente,dataAp,stato,dataCh,tipologia,componenti_nucleo,indirizzo_fatturazione,città_fatturazione
aa756dbe-51e4-4505-ae3d-e53aa38048a5,U-07042025-001,IT49958287756,d37451aa-df1a-4285-96a4-c77f340c65c9,2025-04-07,attiva,NULL,Domestico Residente,4,Corso Santa Chiara 63,Brembate
da23f5d1-19e1-437a-a12c-221449913e3a,U-08102025-001,IT63660016770,fd00226d-e272-47e1-8bf4-a405f55993b6,2025-10-08,attiva,NULL,Domestico Residente,1,Corso Del Lavatoio 84,Pessano con Bornago
c9bae590-125b-476e-8753-71b3f0521c59,U-20102024-001,IT25078864832,9263153c-e967-429f-892d-8bfda591d333,2024-10-20,attiva,NULL,Industriale,NULL,Via Della Pianura 51,Cantù
74d7db50-10ff-476a-a936-8f3bccf590c4,U-29092025-001,IT49375278698,89257c56-cde8-41ea-95da-563e62c95e57,2025-09-29,inattiva,2026-07-26,Domestico Residente,2,Corso Forlì 9,Ornago
ba68272b-21cd-4bc9-a83d-03e5bd59c788,U-31072024-001,IT95277953028,4e4cd267-8def-4b0c-bcaf-28e4eb4c7902,2024-07-31,attiva,NULL,Domestico Residente,2,Largo Reggio Emilia 125,Missaglia
445d572d-89b1-4688-ab9a-86ef1f1586d2,U-22012025-001,IT96227623849,94b41b43-046c-4fa8-a18d-4e6cefc28630,2025-01-22,attiva,NULL,Domestico Residente,1,Piazza Del Diamante 46,Chiari
218e5431-884b-42a4-b2d7-ec56aa9f95c9,U-24022023-001,IT40341857202,94b41b43-046c-4fa8-a18d-4e6cefc28630,2023-02-24,inattiva,2025-12-02,Domestico Non Residente,NULL,Piazza Del Diamante 46,Chiari
464cbf13-331c-433b-b917-c952fcdd2fc8,U-22112022-001,IT86860244562,f491dad3-f1f4-451b-bc17-3082961cd8d3,2022-11-22,attiva,NULL,Domestico Residente,1,Via Caravaggio 124,Calusco d'Adda
55e76601-65d6-424f-a3b3-6afd928fc9b2,U-19082026-001,IT49375278698,72b91ff6-b760-403b-8f60-d88605fc8459,2026-08-19,inattiva,2027-02-24,Domestico Residente,1,Corso Forlì 9,Ornago
a758db63-0317-4478-ab29-97e70fb04106,U-23032025-001,IT77626220140,72b91ff6-b760-403b-8f60-d88605fc8459,2025-03-23,attiva,NULL,Domestico Non Residente,NULL,Corso Forlì 9,Ornago
da359722-a9c0-42bc-9355-076f0d07044c,U-01102024-001,IT81835835974,3baa98c3-3e51-4da7-8374-04eaac6a2239,2024-10-01,attiva,NULL,Domestico Residente,5,Largo Dell'Orsa Maggiore 83,Torre de' Roveri
effe58d3-d71d-4d73-8406-f4d229dcf176,U-24122025-001,IT40341857202,ef51dda2-179a-4eca-9ac3-234497e58331,2025-12-24,attiva,NULL,Domestico Residente,3,Piazza Peri 150,Osio Sopra
b4980dab-acf5-4175-bafe-2d0fcf79fdf9,U-16052024-001,IT38785719526,ef0aee86-453a-4b10-b9ae-3e5629c85270,2024-05-16,attiva,NULL,Domestico Residente,5,Corso Grazia Deledda 69,Chiari
419fb297-176f-491c-9fd3-9b729171d295,U-28092025-001,IT10384001609,ffd054d9-665e-40b5-b56c-c6fe6548e351,2025-09-28,attiva,NULL,Domestico Residente,5,Via Taranto 57,Lentate sul Seveso
a7062d9d-ee9f-4f1b-be2a-fb497d58a379,U-16032027-001,IT49375278698,8767f953-eb76-45a2-8227-cf5c42ebc52f,2027-03-16,attiva,NULL,Domestico Residente,5,Largo Salgari 79,Costa Masnaga
2e0df14b-edc0-444a-8107-ea9629348541,U-03052023-001,IT28793159943,f17cae2d-4d0f-48a0-93b8-703fb91315d8,2023-05-03,attiva,NULL,Industriale,NULL,Viale Delle Magnolie 55,Merate
b0fb0b95-291f-4ddb-ad43-879157fd78e8,U-18042024-001,IT33003947495,7a3c2a63-f220-41da-b226-c0cec4ddadd8,2024-04-18,attiva,NULL,Domestico Residente,2,Viale Goldoni 122,Ciserano
bb8b6889-0761-419b-9ccb-1e2b42c87105,U-23102022-001,IT89783692750,3aea87ec-34ce-434f-a8e4-c5cf85959344,2022-10-23,attiva,NULL,Domestico Residente,3,Viale Ascoli Piceno 98,Palazzolo sull'Oglio
a536bbf5-df37-45c5-af10-dcb873429002,U-26022024-001,IT97209033582,3d8c7f35-2fd8-4b96-95f9-12ced5ff2b68,2024-02-26,attiva,NULL,Domestico Residente,3,Via Ascoli Piceno 54,Vedano al Lambro
4d7aab22-9899-4e4c-a403-538bd97da1e6,U-18122024-001,IT81735378297,c15d925b-c895-41df-894e-f38bf94c7a79,2024-12-18,attiva,NULL,Domestico Residente,5,Via Mantova 59,Bergamo
e11230c6-fee4-46bd-88d2-5084b416feec,U-03102024-001,IT30396237459,35544c31-c89b-43df-a414-2f38d3ab24bb,2024-10-03,attiva,NULL,Domestico Residente,4,Viale Arno 96,Gazzaniga
407b9678-67e7-4ae4-a57a-cd99f250d1ea,U-24062024-001,IT96500203400,17729e70-aebd-4b3f-86f5-cda9bf8a2995,2024-06-24,attiva,NULL,Domestico Residente,1,Via Delle Querce 93,Comun Nuovo
0b43453a-06eb-4a41-a7ec-b77f1cb23590,U-16052023-001,IT61743427798,499acd11-9efa-49b2-8d0f-dce92a87b003,2023-05-16,attiva,NULL,Domestico Residente,4,Viale Piave 130,Brugherio
7a1d8f65-f364-4225-83a4-a62fc9eb20c9,U-21042024-001,IT85646657716,499acd11-9efa-49b2-8d0f-dce92a87b003,2024-04-21,attiva,NULL,Domestico Non Residente,NULL,Viale Piave 130,Brugherio
4f374d3b-ea98-47ed-80e3-bb83cc7f4d39,U-28112022-001,IT80590397767,7dbf884e-ab6f-488f-97dd-c99e7a142340,2022-11-28,attiva,NULL,Domestico Residente,4,Largo Marco Minghetti 127,Almenno San Bartolomeo
87b2bc2d-4690-4945-934b-3fe6a4c683e1,U-07052024-001,IT49296865179,7dbf884e-ab6f-488f-97dd-c99e7a142340,2024-05-07,attiva,NULL,Domestico Non Residente,NULL,Largo Marco Minghetti 127,Almenno San Bartolomeo
3c6eee4d-6c2a-4b5c-83cd-3ece18969b2a,U-30082024-001,IT51381590095,ce849af7-e855-4c98-8fef-3eb067907adb,2024-08-30,attiva,NULL,Domestico Residente,5,Piazza Europa 6,Vedano al Lambro
94578d8a-0ae7-4d94-be14-10aebb5c9c6f,U-29072022-001,IT64074129869,f502b522-0b58-4a74-900e-c4c3a19834bb,2022-07-29,attiva,NULL,Domestico Residente,5,Piazza Dei Contadini 9,Sovico
fb1be756-4dc6-494a-82a9-171539632656,U-28022025-001,IT27887912484,c64ca44c-70e1-4108-8405-7c522e34bcdb,2025-02-28,attiva,NULL,Domestico Residente,1,Vicolo Dell'Eclissi 141,Muggiò
1b6d871d-3a76-4a1e-8b92-03a94683f4dd,U-27032025-001,IT42545093310,145c2ce3-2847-4363-a641-be27eb0712d8,2025-03-27,attiva,NULL,Domestico Residente,3,Vicolo San Martino 149,Nova Milanese
a0f315d3-2df6-4f20-b85b-efc01ab35463,U-16062024-001,IT43748687122,da3398ae-f35f-44bc-8548-83a61998ecdd,2024-06-16,attiva,NULL,Domestico Residente,1,Corso Ciliegi 96,Gazzaniga
a04bbf3c-e579-478f-a3ec-386d2f6dbdf6,U-24042024-001,IT54650096171,9bf4c34c-6755-446f-a41a-36bd213f30d6,2024-04-24,attiva,NULL,Domestico Residente,1,Via Del Tramonto 23,Seveso
93d7b47d-9181-43a9-a5aa-beabb5d214b1,U-31072025-001,IT80986004938,1b363126-0e83-4c11-9433-9d9ad9425b11,2025-07-31,attiva,NULL,Industriale,NULL,Largo Dei Pini 6,Zanica
7e4a5866-a413-43d2-a5ef-031341c506e8,U-01102023-001,IT49210068250,0eee6a01-96e7-48ba-89a5-1f2a61b928cd,2023-10-01,inattiva,2024-01-08,Domestico Residente,5,Viale Dei Contadini 74,Melzo
5e8b4d77-8356-4619-9c35-0ca9fd5d001e,U-07082023-001,IT57882074515,771a46a8-d7c5-48e8-b8b6-201e4c579088,2023-08-07,inattiva,2024-04-03,Domestico Residente,3,Corso Sansovino 84,Usmate Velate
9295d759-a7b1-4ec3-8180-b5120e820e51,U-26012025-001,IT67816448390,8442cf05-6659-4212-aa54-d08aac937e0c,2025-01-26,attiva,NULL,Domestico Residente,5,Largo Bernini 125,Trescore Balneario
d06b1338-c958-4761-8f5e-02758e13cce8,U-13102022-001,IT22340420512,8442cf05-6659-4212-aa54-d08aac937e0c,2022-10-13,attiva,NULL,Domestico Non Residente,NULL,Largo Bernini 125,Trescore Balneario
1371ff91-5587-41ef-8a99-7ca2cdbcb3e5,U-29082025-001,IT52905161444,d512c634-cc84-4ec1-bb7c-9e53cdd651a3,2025-08-29,attiva,NULL,Domestico Residente,1,Via Verde 145,Dalmine
09ef6158-e0b1-42e8-a690-ac6a3393684e,U-26082023-001,IT60154135088,d512c634-cc84-4ec1-bb7c-9e53cdd651a3,2023-08-26,attiva,NULL,Domestico Non Residente,NULL,Via Verde 145,Dalmine
5f0cde93-1531-4681-9359-cb3ed1bb01cb,U-03062023-001,IT89709086513,6b63f18c-2af0-4c23-bf9c-08be6fcb4fd6,2023-06-03,attiva,NULL,Industriale,NULL,Corso Palladio 120,Scanzorosciate
4729ad44-8adc-4284-a307-35c7b81bd0f6,U-14042024-001,IT57882074515,8412f258-7be0-4980-9b2f-542490a08375,2024-04-14,attiva,NULL,Domestico Residente,5,Corso Sansovino 84,Usmate Velate
8ace796f-8557-450c-bb92-bad56f5ac2e9,U-06022025-001,IT56928539231,b6797a79-0eb2-43d2-a213-914b8208ebae,2025-02-06,attiva,NULL,Commerciale,NULL,Via Verde 138,Pagazzano
d1397966-0e36-4347-b035-fdb16793627c,U-13092022-001,IT60604347711,b6797a79-0eb2-43d2-a213-914b8208ebae,2022-09-13,inattiva,2024-06-04,Industriale,NULL,Via Verde 138,Pagazzano
0f982a9f-1e0e-4aa7-b3e6-f2313c34ced4,U-03082025-001,IT85522195041,c79a36dd-dbf9-4f96-8f48-a5045ef31da3,2025-08-03,attiva,NULL,Domestico Residente,1,Viale Pavese 28,Villa di Serio
ee0642f4-c3cc-44a6-96eb-1729585c23c2,U-20122022-001,IT28593252783,47ea00f4-036b-4fdb-a524-f6c6da62fd35,2022-12-20,attiva,NULL,Domestico Residente,4,Corso Galileo Galilei 72,Ranica
cc425e3a-0887-4b3f-ae17-e4581aead9b1,U-03072022-001,IT23227766356,8c25c46e-cea3-4683-8ac7-47dc25c62c08,2022-07-03,attiva,NULL,Domestico Residente,4,Corso Del Melograno 15,Treviolo
08857656-6364-4f8f-b649-451fa11c65da,U-16022025-001,IT79320282150,f2e573af-b5ae-4f24-be50-d37e3b2e2f98,2025-02-16,attiva,NULL,Domestico Residente,4,Largo Peschi 143,Lovere
116448ce-30ab-40a9-a96c-cf2e8af1f637,U-22042023-001,IT30398736540,394d780f-a147-4773-a8aa-f1615dab1a0e,2023-04-22,attiva,NULL,Industriale,NULL,Via Dei Pastori 42,Vedano al Lambro
e8f4575c-2a82-449b-8670-45ccdb39d06c,U-15062024-001,IT60604347711,6754286e-d1f5-49d2-beec-a5e7fdada47c,2024-06-15,attiva,NULL,Industriale,NULL,Largo Sicilia 44,Desio
4856993c-5283-4bd4-b278-292acb8ab0f6,U-07092024-001,IT25179317140,8c6fef52-5233-4414-ae9a-cb445c688eff,2024-09-07,inattiva,2025-01-05,Domestico Residente,2,Corso Della Pieve 36,Ranica
849582a2-10f1-40c8-b4b2-bbc9088178b4,U-16012025-001,IT25179317140,8a5f9f5e-02de-4116-bc80-714b9da37eb4,2025-01-16,inattiva,2027-06-29,Domestico Residente,3,Corso Della Pieve 36,Ranica
e6a21f58-f5b5-4941-9309-28ccfeceef4b,U-08102024-001,IT82055699944,8a5f9f5e-02de-4116-bc80-714b9da37eb4,2024-10-08,inattiva,2026-01-12,Domestico Non Residente,NULL,Corso Della Pieve 36,Ranica
54aa9752-3b95-47d4-9015-745f77939518,U-18112023-001,IT73786148806,26e8e807-36c1-4ad3-bda5-b32bdd9ff970,2023-11-18,attiva,NULL,Domestico Residente,5,Largo Boccaccio 148,Lentate sul Seveso
8ab39907-e4d7-4491-a0d0-e2010237f0f4,U-01022024-001,IT31405870980,81438696-48f1-41d3-a437-0f8849571b23,2024-02-01,attiva,NULL,Domestico Residente,1,Largo Ancona 63,Comun Nuovo
3b8357d6-ede3-4358-b563-b17f6d188cca,U-25052023-001,IT28554702993,81438696-48f1-41d3-a437-0f8849571b23,2023-05-25,attiva,NULL,Domestico Non Residente,NULL,Largo Ancona 63,Comun Nuovo
d90dd855-d3a5-4b7f-96df-d59739c2014f,U-15052024-001,IT72433942426,583f7632-a2b4-4fa3-8a77-6b030421782f,2024-05-15,attiva,NULL,Domestico Residente,1,Corso Venezia 4,Rivolta d'Adda
d4a8bf29-0285-4d4e-a8ae-a4f85e18f220,U-16072025-001,IT31660271149,f8718369-ee8a-4906-b465-96e181661f39,2025-07-16,attiva,NULL,Domestico Residente,2,Largo Puccini 117,Ponteranica
52a237cd-c543-4064-a07d-93cdf3c04a92,U-13012024-001,IT49210068250,cc68326a-7ace-4ce5-b743-0e337c140b5f,2024-01-13,attiva,NULL,Domestico Residente,4,Viale Dei Contadini 74,Melzo
666c4ca6-82f6-4128-bbc8-0a20a708d7b2,U-12102022-001,IT34533000335,88e1b883-cd30-44af-8c30-3da68bf99076,2022-10-12,attiva,NULL,Domestico Residente,4,Viale Dei Pianeti 17,Muggiò
b1b47504-33ed-4efc-9ead-e282b46c8acc,U-13122022-001,IT27302427708,ab87fa43-a24c-4894-bda0-eb7e2d34a3b8,2022-12-13,attiva,NULL,Domestico Residente,1,Viale Bologna 13,Roncello
f9406da6-9bec-4a1f-8f2a-11441c84cbf7,U-08082023-001,IT93969019491,735d231f-e021-4602-a51a-f1457043f5b6,2023-08-08,attiva,NULL,Domestico Residente,2,Viale Sandro Pertini 39,Seveso
70a79585-ad72-4515-a39b-4ebba0adcfe8,U-31082025-001,IT48226035867,9b9e7265-9919-4682-ae98-8c8654c0bb85,2025-08-31,attiva,NULL,Industriale,NULL,Via Umbria 120,Brugherio
b736d40d-7366-43ba-b59c-c37a9cf356fc,U-17022024-001,IT74312240532,a2e1b04f-47fc-4c56-820e-bfce3ed5d5cb,2024-02-17,inattiva,2024-05-29,Domestico Residente,3,Viale Appennini 9,Palosco
61be4c36-2a23-425e-88d5-06d257f32bba,U-10082024-001,IT16956834752,a2e1b04f-47fc-4c56-820e-bfce3ed5d5cb,2024-08-10,attiva,NULL,Domestico Non Residente,NULL,Viale Appennini 9,Palosco
8ea1003b-aaed-4159-bdfe-448bf66d0399,U-08012025-001,IT84568045795,02cb65cd-7e04-461a-9b59-f1a6618c5788,2025-01-08,attiva,NULL,Domestico Residente,4,Vicolo Gran Sasso 148,Pozzuolo Martesana
71b05f1a-9a4b-42fc-9917-07037e3bde98,U-13012026-001,IT82055699944,fd5eb112-06da-437a-beaf-bc47747548a5,2026-01-13,attiva,NULL,Domestico Residente,1,Viale Paganini 30,Gessate
bdb418fb-c7f1-499a-94de-5f94e8e1177d,U-19082024-001,IT34474307945,e89d7234-156d-43eb-822e-5890a7202eab,2024-08-19,attiva,NULL,Domestico Residente,2,Piazza Ungaretti 132,Renate
b7082811-08cf-4d49-9675-da7fd45f7d9f,U-22062023-001,IT89228785668,980acf3a-edfa-4aeb-8ed9-23dfcdb19866,2023-06-22,inattiva,2024-12-13,Industriale,NULL,Viale Dei Vasai 111,Gorgonzola
c9b16f5c-5575-466f-883d-d3bfcfbfe862,U-24112025-001,IT59997173758,1e42e2d4-c621-4999-ac1f-a1dec255c222,2025-11-24,inattiva,2028-03-09,Domestico Residente,1,Vicolo Ortensie 148,Lovere
f79eaa0f-9e72-4b06-b53c-1c14083d073e,U-12032028-001,IT59997173758,d1a51b59-26af-45d4-987b-0d64353bad1c,2028-03-12,attiva,NULL,Domestico Residente,1,Vicolo Ortensie 148,Lovere
2c726873-d1a8-4b0c-8892-9f213bcc2933,U-21092024-001,IT14455020684,e10c3b31-5ac8-4a16-a994-039a62bb52b1,2024-09-21,attiva,NULL,Commerciale,NULL,Corso Marie Curie 35,Castelli Calepio
a9702057-e04d-466c-a4d8-f1ee3498e7d2,U-28122023-001,IT13896561829,89e7b3e5-6bd3-4104-84c3-7af87d468610,2023-12-28,attiva,NULL,Domestico Residente,4,Corso Natta 101,Paladina
3df0f1f8-ec06-4f2b-b7d8-c08dd1e66176,U-14062024-001,IT74312240532,5f7764de-425d-4861-921f-2fe0a8191cf0,2024-06-14,attiva,NULL,Domestico Residente,3,Via Romagna 43,Brivio
ddd407b4-3d39-4e9c-912a-7f0f68d7a5f7,U-15112025-001,IT87239033742,a9e762ba-d2b5-444f-8d35-39e754184372,2025-11-15,attiva,NULL,Domestico Residente,4,Vicolo Del Bosco 132,Zanica
d30c3507-841a-4a41-96f3-4e20996d0db0,U-09072025-001,IT82673476646,8e2e5237-8c49-4274-ac40-c4ee5f2206a2,2025-07-09,attiva,NULL,Domestico Residente,5,Via Del Vespro 107,Pradalunga
6dc19b40-6dd1-4be8-b750-eb3b80b54cda,U-16072027-001,IT25179317140,bb85057d-d89e-407e-b2a5-85aeb4258720,2027-07-16,attiva,NULL,Domestico Residente,4,Viale Paganini 30,Gessate
5b4483e2-3ce0-4469-98d3-97a46a50df61,U-23122024-001,IT89228785668,9b22e89b-ba6d-4e07-9dea-a5ae125ee5d2,2024-12-23,attiva,NULL,Commerciale,NULL,Corso Dei Contadini 82,Cernusco sul Naviglio
3c87c31a-229c-4d8e-84de-7fc8c61043c2,U-19062025-001,IT39674446358,868bdfd6-2a69-4568-93ac-312f52ebad99,2025-06-19,attiva,NULL,Domestico Residente,5,Vicolo Cavour 90,Macherio
314a68dc-7c07-4e43-9a0c-2bd98a133253,U-03082023-001,IT32787898260,bd7c9865-0634-47f9-ae73-b6b8da3ab9af,2023-08-03,attiva,NULL,Domestico Residente,2,Piazza Del Vespro 104,Treviglio
022c23f9-8935-4deb-a46f-f7ef085447f8,U-15092023-001,IT31900106082,44d16a6f-294e-4884-b8ef-5284104307f2,2023-09-15,attiva,NULL,Domestico Residente,4,Piazza Tevere 103,Lallio
94f8274f-43dd-47ad-b75c-a27b66ee8c56,U-26092024-001,IT41318694863,329c14eb-26d5-4b4e-ac2a-9d6042d23c7e,2024-09-26,inattiva,2026-11-07,Industriale,NULL,Corso Brindisi 69,Muggiò
912497d8-c898-47d2-900b-5c2aab4c81f7,U-27022024-001,IT85444141477,329c14eb-26d5-4b4e-ac2a-9d6042d23c7e,2024-02-27,attiva,NULL,Industriale,NULL,Corso Brindisi 69,Muggiò
3b69a00f-50fc-4253-b921-07bd2a4d5f2f,U-10022023-001,IT30164583617,3857b0be-3103-4581-bc59-afd116655c9a,2023-02-10,inattiva,2024-03-24,Domestico Residente,5,Largo Appennini 65,Brugherio
1c4fa6b5-f60c-4761-a210-1f368a2b8745,U-27022023-001,IT69170170469,4ac4a94b-0f37-4bbd-ba91-8222b0c6fbbd,2023-02-27,inattiva,2024-08-30,Industriale,NULL,Viale Pirandello 122,Ceriano Laghetto
48f3ddc7-1ac4-4fb8-8c57-5f97ff738168,U-26052023-001,IT68615988486,68f49061-9151-4a8a-a2af-6d49d5de2283,2023-05-26,attiva,NULL,Domestico Residente,3,Largo Bembo 98,Rivolta d'Adda
91e431fe-e8ff-456d-bfe3-dad6079c5ffe,U-28012024-001,IT67384868192,245f66ac-5953-465a-a5d2-72fc4407dd46,2024-01-28,attiva,NULL,Domestico Residente,5,Vicolo Lombardia 128,Nibionno
9bcda656-160b-4e46-a5aa-001505a23916,U-07122023-001,IT79985914531,81b0d8cd-6afd-4b59-9692-4e81460a98c0,2023-12-07,attiva,NULL,Domestico Residente,4,Largo Pitagora 32,Busnago
5898c73f-337e-42cd-8884-40056b443936,U-12042024-001,IT30164583617,30f87afc-e382-4af8-8e35-6b6e9b3c0602,2024-04-12,inattiva,2024-07-26,Domestico Residente,3,Largo Appennini 65,Brugherio
4277744e-6d85-496d-8bc1-68fa7c292574,U-22122024-001,IT68284777675,f6b527dc-e217-4d85-bfef-f8e257dfb3e4,2024-12-22,attiva,NULL,Domestico Residente,5,Corso Brindisi 44,Melzo
28466afd-f641-462f-82bb-0ad44f3bf8d7,U-08012025-002,IT17423468656,b6adb102-f36d-4f96-acc7-8c4747aea99f,2025-01-08,attiva,NULL,Domestico Residente,1,Corso Bramante 40,Ronco Briantino
1577a2e8-596f-4c98-89e1-9b2be06f8330,U-09102025-001,IT52393077061,d81fd487-4f1e-4414-b384-7a34896deeee,2025-10-09,attiva,NULL,Industriale,NULL,Largo Torquato Tasso 74,Pradalunga
794b2d5c-3eee-4e1a-a506-81ae46e35073,U-21122024-001,IT74080920258,76acee96-7e71-418b-bb65-8496a97f1072,2024-12-21,attiva,NULL,Domestico Residente,4,Corso Ariosto 62,Pusiano
1ed8c5ba-bbab-4cda-a77b-9cb5f72e498e,U-08042023-001,IT39837083247,7bb6c8d4-ee7f-424d-98df-d20fe6012958,2023-04-08,attiva,NULL,Domestico Residente,3,Corso Terni 30,Cene
d58ee73c-3db3-4e9b-b725-bde91beb8eb6,U-14022025-001,IT49960687168,86371412-e2f2-434d-8b2e-3abeb5761237,2025-02-14,attiva,NULL,Domestico Residente,5,Vicolo Vecchia 87,Melzo
a8d8d73a-8b20-4799-838d-7d5285ec39f1,U-17112024-001,IT11339334961,1d3e3e7e-4107-4d8c-8a78-f6bf240922db,2024-11-17,attiva,NULL,Domestico Residente,1,Piazza Arno 108,Calusco d'Adda
9e686acb-0731-4b76-a5ff-e7acd70f5ecb,U-22102024-001,IT15028507808,ba3758d4-6d2b-4ae2-9dc5-e12f8a1cccf6,2024-10-22,attiva,NULL,Domestico Residente,4,Viale Poliziano 108,Lesmo
ffc27248-1f80-4248-bbd0-34b6c5de77b1,U-15082024-001,IT30164583617,e5a683c3-c9a3-458e-b607-a04f1d95b70f,2024-08-15,attiva,NULL,Domestico Residente,5,Largo Appennini 65,Brugherio
f8f98028-60f8-4cc5-9ab2-e5c9b427bb55,U-06092024-001,IT94097616141,e5a683c3-c9a3-458e-b607-a04f1d95b70f,2024-09-06,attiva,NULL,Domestico Non Residente,NULL,Largo Appennini 65,Brugherio
fb09b182-5979-4b9d-9640-5954b4d7b954,U-04062023-001,IT44678036929,a7ff843c-c59d-4f32-9a51-bf4105464e15,2023-06-04,attiva,NULL,Industriale,NULL,Via Vittorio Emanuele 102,Barlassina
3327cea0-bb0e-402a-bd69-05eee5d02d7e,U-07062025-001,IT77807340225,c8c21f59-9f18-40e7-9f58-280d5549f5aa,2025-06-07,attiva,NULL,Domestico Residente,4,Piazza Del Castello 132,Melzo
105198d1-ff45-45cc-b7f4-3cf753456e95,U-29122023-001,IT36764376605,b5ed0cbe-5d18-4287-8694-8d324869bf9d,2023-12-29,attiva,NULL,Commerciale,NULL,Vicolo Varese 129,Barzanò
